"first_h2","h1","pageTitle","random_text_from_the_page","url"
"","Products"," Tira: Shop Makeup, Skin, Hair & Beauty Products Online | www.tirabeauty.com"," ₹3,040 ","https://www.tirabeauty.com/products"
"","Example Domain","Example Domain","This domain is for use in illustrative examples in documents. You may use this
    domain in literature without prior coordination or asking for permission.","http://www.example.com"
